zip
005|2bbd8481
bloods22|b2b493a9|Blood Storm (v2.20)
bloodstm|aa373447|Blood Storm (v2.22)
bloxeedc|fc7549f4|Bloxeed (C System)
blsthead|6c91459e|Blasteroids (with heads)
blstroi2|41f51483|Blasteroids (rev 2)
blstroi3|26e8b4b1|Blasteroids (rev 3)
blstroid|6c92f700|Blasteroids (rev 4)
blstroig|94c0f409|Blasteroids (German, rev 2)
blswhstl|49090f60|Bells _ Whistles (Version L)
bluehawk|aaf13552|Blue Hawk
bluehawn|72a5b98f|Blue Hawk (NTC)
blueprnj|262b6b21|Blue Print (Jaleco)
blueprnt|1857263b|Blue Print (Midway)
blueshrk|5b161eba|Blue Shark
blzntrnd|1fa04426|Blazing Tornado
bm1stmix|ea8b4731|beatmania (ver JA-B)
bm2ndmix|4cd63860|beatmania 2nd MIX (ver JA-B)
bm2ndmxa|910e695c|beatmania 2nd MIX (ver JA-A)
bm4thmix|187efb05|beatmania 4th MIX (ver JA-A)
bmaster|10b09f49|Blade Master (World)
bmcompmx|ca1e8798|beatmania complete MIX (ver JA-B)
bmcorerm|6af4ea41|beatmania CORE REMIX (ver JA-A)
bmdct|d4955228|beatmania f. Dreams Come True (ver JA-A)
bnglngby|2d5d3a1d|Vs. Raid on Bungeling Bay (Japan)
bnj|5581afec|Bump 'n' Jump
bnzabros|0a11a88a|Bonanza Bros
boblbobl|cbe0db83|Bobble Bobble
bodyslam|bb063277|Body Slam
bogeyman|3abb3e78|Bogey Manor
boggy84|851b5bf8|Boggy '84
bombbee|12908f98|Bomb Bee
bombjac2|b7f57c91|Bomb Jack (set 2)
bombjack|6807cf59|Bomb Jack (set 1)
bombrman|4fb73632|Bomberman (Japan)
bonzeadu|276c61d4|Bonze Adventure (US)
bonzeadv|433b9544|Bonze Adventure (World)
boomrang|2a9cfdc3|Boomer Rang'r / Genesis
bootcamp|a0e42df1|Boot Camp
boothill|439a95d6|Boot Hill
borench|4d45f582|Borench
bosco|9d549cee|Bosconian (new version)
boscomd|44b2e559|Bosconian (Midway, new version)
boscomdo|c3016cc8|Bosconian (Midway, old version)
boscoo|ec189c81|Bosconian (old version)
boscoo2|83439065|Bosconian (older version)
bottom9|9357016a|Bottom of the Ninth (version T)
bottom9n|754d6461|Bottom of the Ninth (version N)
bouldash|8fcccc34|Boulder Dash / Boulder Dash Part 2 (World)
bouldshj|fbb838fb|Boulder Dash / Boulder Dash Part 2 (Japan)
