zip
005|2bbd8481
bermudaa|712613f4|Bermuda Triangle (US older version)
bermudao|6baed2f3|Bermuda Triangle (Japan old version)
bermudat|675b478d|Bermuda Triangle (Japan)
berzerk|caa488e5|Berzerk (set 1)
berzerk1|c728c04b|Berzerk (set 2)
bigbang|2dc70140|Big Bang (9th Nov. 1993)
bigbucks|10422243|Big Bucks
bigevglf|0db9adb2|Big Event Golf
bigkarnk|924f4dd6|Big Karnak
bigprowr|2ac777d2|The Big Pro Wrestling!
bigrun|c1e11087|Big Run (11th Rallye version)
bigstrik|66282984|Big Striker
bigstrkb|fd0ec020|Big Striker (bootleg)
bigtwin|1190ed58|Big Twin
bijokkog|39d534f8|Bijokko Gakuen (Japan 880116)
bijokkoy|16516bf7|Bijokko Yume Monogatari (Japan 870925)
billiard|760cb07e|The Billiards
bioatack|62cf91a5|Bio Attack
biofreak|2f807e7f|BioFreaks (prototype)
biomtoy|2313b726|Biomechanical Toy (unprotected)
bionicc|026defcc|Bionic Commando (US set 1)
bionicc2|6f32e6d4|Bionic Commando (US set 2)
bioship|e0240ac0|Bio-ship Paladin
bishi|b2f59ff8|Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players)
bjourney|b9ab7375|Blue's Journey / Raguy
bjtwin|f4022877|Bomb Jack Twin
bking|c26544b5|Birdie King
bking2|e9d37dda|Birdie King 2
bking3|49e2b834|Birdie King 3
bkrtmaq|a3147d17|Bakuretsu Quiz Ma-Q Dai Bouken (Japan)
bktigerb|ad64a7d1|Black Tiger (bootleg)
bladestl|06aaf44e|Blades of Steel (version T)
bladstle|5f44da87|Blades of Steel (version E)
blandia|e10b7590|Blandia
blandiap|7f1d8ef2|Blandia (prototype)
blasted|3c79c3b1|Blasted
blaster|85718a68|Blaster
blastkit|13c81286|Blaster (kit)
blasto|cc694a8e|Blasto
blastoff|e03756ea|Blast Off (Japan)
blazeon|c810a25f|Blaze On (Japan)
blazer|098ca3ee|Blazer (Japan)
blazstar|90fca121|Blazing Star
blckgalb|799c14aa|Block Gal (bootleg)
blckout2|ba3829ea|Block Out (set 2)
blckoutj|3df6a482|Block Out (Japan)
bldwolf|888472d5|Bloody Wolf (US)
blitz|572433ad|NFL Blitz
blitz2k|e073462c|NFL Blitz 2000
blitz99|0f933364|NFL Blitz '99
blkbustr|72ec9839|BlockBuster
blkdrgnb|a1084e63|Black Dragon (bootleg)
blkdrgon|8b33e504|Black Dragon
blkhearj|0b799951|Black Heart (Japan)
blkheart|407e8dd6|Black Heart
blkhole|cca72c59|Black Hole
blkpnthr|703bd4df|Black Panther
blktiger|849c0e57|Black Tiger
blmbycar|1e1f2084|Blomby Car
blmbycau|92376e9a|Blomby Car (not encrypted)
block|376b0627|Block Block (World 911106 Joystick)
blocka|900e6f0c|Block Block (World 910910)
blockade|e303f468|Blockade
blockbl|44cfd2df|Block Block (bootleg)
blockcar|6b777ff2|Block Carnival - Thunder and Lightning 2
blocken|eda5b552|Blocken (Japan)
blockhl|738e11b3|Block Hole
blockj|da9525c0|Block Block (Japan 910910)
blockout|bc295957|Block Out (set 1)
bloodbro|c0aeb86f|Blood Bros.
bloods11|4f4b9c23|Blood Storm (v1.10)
bloods21|dc4047df|Blood Storm (v2.10)
bloods22|6040940e|Blood Storm (v2.20)
bloodstm|aa373447|Blood Storm (v2.22)
bloodwar|cf194eff|Blood Warrior
bloxeedc|fc7549f4|Bloxeed (C System)
blsthead|2e1b395d|Blasteroids (with heads)
blstroi2|f9b3bd0a|Blasteroids (rev 2)
blstroi3|71ffb76e|Blasteroids (rev 3)
blstroid|6c92f700|Blasteroids (rev 4)
blstroig|658af0f7|Blasteroids (German, rev 2)
blswhstl|49090f60|Bells and Whistles (Version L)
bluehawk|aaf13552|Blue Hawk
bluehawn|96856832|Blue Hawk (NTC)
blueprnj|c89eac4e|Blue Print (Jaleco)
blueprnt|1857263b|Blue Print (Midway)
blueshrk|5b161eba|Blue Shark
blzntrnd|1fa04426|Blazing Tornado
bm1stmix|ea8b4731|beatmania (ver JA-B)
bm2ndmix|4cd63860|beatmania 2nd MIX (ver JA-B)
bm2ndmxa|0a0e0592|beatmania 2nd MIX (ver JA-A)
bm4thmix|187efb05|beatmania 4th MIX (ver JA-A)
bmaster|10b09f49|Blade Master (World)
bmcompmx|ca1e8798|beatmania complete MIX (ver JA-B)
bmcorerm|6af4ea41|beatmania CORE REMIX (ver JA-A)
bmdct|d4955228|beatmania f. Dreams Come True (ver JA-A)
bnglngby|2d5d3a1d|Vs. Raid on Bungeling Bay (Japan)
bnj|66fd2e3d|Bump 'n' Jump
bnzabros|0a11a88a|Bonanza Bros
boblbobl|c033da3d|Bobble Bobble
bodyslam|bb063277|Body Slam
bogeyman|3abb3e78|Bogey Manor
boggy84|851b5bf8|Boggy '84
bombbee|12908f98|Bomb Bee
bombjac2|9e670f12|Bomb Jack (set 2)
bombjack|6807cf59|Bomb Jack (set 1)
bombrman|5fd7d3fe|Bomberman (Japan)
bonkadv|3bc17c16|Bonk's Adventure
bonzeadu|6cc1ffc5|Bonze Adventure (US)
bonzeadv|433b9544|Bonze Adventure (World)
boogwing|a1695921|Boogie Wings (Euro v1.5)
boogwinga|4d0211e9|Boogie Wings (Asia v1.5)
boomrang|2a9cfdc3|Boomer Rang'r - Genesis
bootcamp|09fa1d25|Boot Camp
boothill|439a95d6|Boot Hill
borench|4d45f582|Borench
bosco|2875ea47|Bosconian (new version)
boscomd|4bad0227|Bosconian (Midway, new version)
boscomdo|ce760ede|Bosconian (Midway, old version)
boscoo|7480a4c7|Bosconian (old version)
boscoo2|da18e911|Bosconian (older version)
botanic|2bb55306|Botanic
bottom9|9357016a|Bottom of the Ninth (version T)
bottom9n|93ba837e|Bottom of the Ninth (version N)
bouldash|8fcccc34|Boulder Dash - Boulder Dash Part 2 (World)
bouldshj|5136967b|Boulder Dash - Boulder Dash Part 2 (Japan)
bounty|2b9168c5|The Bounty
bowler|4b35544e|4 Player Bowling Alley
bowlrama|3eacbd94|Bowl-O-Rama
boxer|5759a1c6|Boxer (prototype)
boxingb|ebb26fb3|Boxing Bugs
boxyboy|8aea253f|Boxy Boy (US)
bradley|e5fff01f|Bradley Trainer
brain|f475878f|Brain
brapboys|56f5a7c9|B.Rap Boys (World)
brapboysj|20bc87c0|B.Rap Boys Special (Japan)
brdrlinb|7c714b04|Borderline (bootleg)
breakers|3400cd0e|Breakers
breakrev|bbcce6c9|Breakers Revenge
breywood|ff6fee69|Breywood (Japan revision 2)
brickyrd|9ae0468b|Brickyard
brival|148e0cbf|Burning Rival (Japan)
brix|aa4d1fa9|Brix
brkthru|217ac421|Break Thru (US)
brkthruj|eb928fc0|Kyohkoh-Toppa (Japan)
brubber|ca4c373d|Burnin' Rubber
brutforc|13932a0d|Brute Force
bshark|ad87269c|Battle Shark (US)
bsharkj|a8241ff4|Battle Shark (Japan)
bsharkjjs|8e17754d|Battle Shark (Japan, Joystick)
bsktball|6b8031f9|Basketball
bssoccer|cc14754e|Back Street Soccer
bstars|04ed7ec0|Baseball Stars Professional
bstars2|b25aa772|Baseball Stars 2
btime|e6e30b8b|Burger Time (Data East set 1)
btime2|37650db4|Burger Time (Data East set 2)
btimem|f6019a4d|Burger Time (Midway)
btlecity|7da73cc4|Vs. Battle City
btlfield|0480bfa6|Battle Field (Japan)
btlkroad|18ed9e21|Battle K-Road
btoads|007659a0|Battle Toads
bubblem|6be783a2|Bubble Memories - The Story Of Bubble Bobble 3 (World)
bubblemj|7a61a271|Bubble Memories - The Story Of Bubble Bobble 3 (Japan)
bubbles|47eaea67|Bubbles
bubblesp|1c790c63|Bubbles (prototype version)
bubblesr|82752532|Bubbles (Solid Red label)
bubbobr1|e55c6cd8|Bubble Bobble (US)
bubl2000|69b4181d|Bubble 2000
bublbob1|ea563bed|Bubble Bobble (older)
bublbob2|5ba85f5b|Bubble Bobble 2 (World)
bublbobl|4fea6af9|Bubble Bobble
bublboblp|45d286ea|Bubble Bobble (prototype on Tokio hardware)
bublboblu|f2e63ccf|Bubble Bobble (Ultra Version)(USA)
bublbobr|46a46e42|Bubble Bobble (US with mode select)
bublcave|ede39c1e|Bubble Bobble: Lost Cave V1.2
bubsympe|23d67e36|Bubble Symphony (Europe)
bubsymph|84ca0ad8|Bubble Symphony (Japan)
bubsympu|0f710f98|Bubble Symphony (US)
buckrog|214fc763|Buck Rogers - Planet of Zoom
buckrogn|eaabd9ea|Buck Rogers - Planet of Zoom (not encrypted)
bucky|9a283468|Bucky O'Hare (World version EA)
buckyua|b9a2f7f4|Bucky O'Hare (US version UA)
buggychl|36b35a07|Buggy Challenge
buggycht|73451675|Buggy Challenge (Tecfri)
bullfgt|b95b9f7f|Bullfight
buraiken|24fca8a4|Hissatsu Buraiken (Japan)
burglarx|d292786b|Burglar X
burnforc|de15b62c|Burning Force (Japan)
burningf|ba30a1b1|Burning Fight (set 1)
burningh|0ee22fc2|Burning Fight (set 2)
butasan|8920e6e3|Butasan (Japan)
bwcasino|5493c6bc|Boardwalk Casino
bwidow|d276b76f|Black Widow
bwing|f20db1dd|B-Wings (Japan)
bwings|6ca4d6f6|Battle Wings
bzone|ed61e1d3|Battle Zone (set 1)
bzone2|741581fb|Battle Zone (set 2)
bzonec|bde0e1c0|Battle Zone (cocktail)
cabal|e79fce32|Cabal (World, Joystick version)
cabala|ec4c2379|Cabal (Alpha Trading)
cabalbl|f7bad40a|Cabal (bootleg of Joystick version)
cabalus|969ebf0f|Cabal (US set 1, Trackball version)
cabalus2|8d5d2fe8|Cabal (US set 2, Trackball version)
cachat|53295176|Cachat (Japan)
cadash|a0dcc078|Cadash (World)
cadashf|496844e7|Cadash (France)
cadashi|bead225b|Cadash (Italy)
cadashj|92940644|Cadash (Japan)
cadashu|2ed3a514|Cadash (US)
cairblad|c8716878|Change Air Blade (Japan)
calibr50|0d50da5c|Caliber 50
calipso|cfeb8037|Calipso
calspeed|63fa698b|California Speed
cameltrj|261fa407|Cameltry (Japan)
cameltry|7b13d78f|Cameltry (US)
camltrua|ffe4385d|Cameltry (US, alt sound)
cannball|e2659adf|Cannon Ball
cannonb|5f99b5f6|Cannon Ball (Crazy Climber hardware)
canyon|7f0a76c1|Canyon Bomber
canyonp|7c421607|Canyon Bomber (prototype)
capbowl|332f708f|Capcom Bowling (set 1)
capbowl2|0fb5232b|Capcom Bowling (set 2)
capitol|cee20fd8|Capitol
captaven|6c2fe62e|Captain America and The Avengers (Asia Rev 1.9)
captavna|0d5737c7|Captain America and The Avengers (Asia Rev 1.0)
captavne|ca014fa6|Captain America and The Avengers (UK Rev 1.4)
captavnj|2d204921|Captain America and The Avengers (Japan Rev 0.2)
captavnu|cf530afc|Captain America and The Avengers (US Rev 1.9)
captavuu|03428d19|Captain America and The Avengers (US Rev 1.6)
captcomj|ed3bb335|Captain Commando (Japan 911202)
captcomm|8f8a82c3|Captain Commando (World 911014)
captcomu|d246b0d7|Captain Commando (US 910928)
caractn|abc0db1a|Car Action
carjmbre|86cecc69|Car Jamboree
carnevil|2f0b633a|CarnEvil
carnival|87bb4069|Carnival (upright)
carnvckt|e9511c51|Carnival (cocktail)
carpolo|92bcf55d|Car Polo
castfant|3a5e4ab6|Cassette: Astro Fantasia
catch22|5364f6ab|Catch-22 (version 8.0)
cavelon|c5550f89|Cavelon
cavenger|75896eaf|Cosmic Avenger
cawing|556701cc|Carrier Air Wing (World 901012)
cawingj|3dd9bced|U.S. Navy (Japan 901012)
cawingu|2df63127|Carrier Air Wing (US 901012)
cbasebal|762ceddb|Capcom Baseball (Japan)
cbdash|3718c68d|Cassette: Boulder Dash
cbnj|1bab1e28|Cassette: Bump N Jump
cbtime|5383393f|Cassette: Burger Time
cburnrb2|c19a6f0f|Cassette: Burnin' Rubber (set 2)
cburnrub|0de2dac1|Cassette: Burnin' Rubber (set 1)
cbuster|937de2a4|Crude Buster (World FX version)
cbusterj|0725fb2b|Crude Buster (Japan)
cbusterw|27725cc5|Crude Buster (World FU version)
ccasino|76d17fde|Chinese Casino [BET] (Japan)
ccastle2|77ddb44c|Crystal Castles (version 2)
ccastle3|c3427e73|Crystal Castles (version 3)
ccastlej|2975b067|Crystal Castles (joystick version)
ccastles|d1df252e|Crystal Castles (version 4)
ccboot|4807908d|Crazy Climber (bootleg set 1)
ccboot2|4175d3cb|Crazy Climber (bootleg set 2)
cchasm|5219527c|Cosmic Chasm (set 1)
