sms
20 em 1 (Brazil)|F0F35C22
Loretta no Shouzou - Sherlock Holmes (Japan)|323F357F,G-1315
Lucky Dime Caper Starring Donald Duck, The (Europe, Brazil)|A1710F13,7072
Lucky Dime Caper Starring Donald Duck, The (Europe, Brazil) (Beta)|7F6D0DF6
Mahjong Sengoku Jidai (Japan) (Beta)|996B2A07
Mahjong Sengoku Jidai (Japan, Hong Kong)|BCFBFC67,G-1337
Makai Retsuden (Japan)|CA860451,G-1324
Maou Golvellius (Japan)|BF0411AD,G-1363
Maou Golvellius (Japan) (Beta)|21A21352
Marble Madness (Europe)|BF6F3E5F,27024
Marksman Shooting & Trap Shooting & Safari Hunt (Europe)|E8215C2E,6080
Marksman Shooting & Trap Shooting (USA, Brazil)|E8EA842C,6003
Master of Darkness (Europe, Brazil)|96FB4D4B,7107
Masters of Combat (Europe, Brazil)|93141463,7124
Maze Hunter 3-D (USA, Europe, Brazil)|31B8040B
Maze Walker (Japan)|871562B0,G-1345
Megumi Rescue (Japan)|29BC7FAD,G-1359
Mercs (Europe, Brazil)|D7416B83,9007
Michael Jackson's Moonwalker (USA, Europe, Brazil)|56CC906B
Michael Jackson's Moonwalker (USA, Europe, Brazil) (Beta)|54123936
Mickey's Ultimate Challenge (Brazil)|2B86BCD7
Micro Machines (Europe)|A577CE46,19001
Micro Xevious, The (Korea) (Unl)|41CC2ADE
Miracle Warriors - Seal of the Dark Lord (USA, Europe)|4F50B42A
Miracle Warriors - Seal of The Dark Lord (USA, Europe, Brazil)|0E333B6E
Miracle Warriors - Seal of The Dark Lord (USA, Europe, Brazil) (Beta)|301A59AA
Missile Defense 3-D (USA, Europe, Brazil)|FBE5CFBB
Missile Defense 3-D (USA, Europe, Brazil) (Sample)|43DEF05D
Monica no Castelo do Dragao (Brazil)|01D67C0B
Monopoly (Europe) (Rev A)|026D94A4,5500
Monopoly (USA) (Beta)|7E9D87FC
Monopoly (USA, Europe)|69538469,5500
Montezuma's Revenge - Featuring PANAMA JOE (USA)|82FDA895,4370
Montezuma's Revenge - Featuring PANAMA JOE (USA) (Beta)|575D0FCF
Mopiranger (Korea) (En) (Unl)|B49AA6FC
Mortal Kombat (Europe, Brazil)|302DC686,MK-29021
Mortal Kombat 3 (Brazil)|395AE757
Mortal Kombat II (Europe, Brazil)|2663BF18,MK-29029
Ms. Pac-Man (Europe, Brazil)|3CD816C6,301030
My Hero (USA, Europe, Brazil)|62F0C23D
NBA Jam (Europe) (Proto)|332A847D
Nekkyuu Koushien (Japan)|5B5F9106,G-1367
Nemesis (Korea) (Unl)|E316C06D
Nemesis 2 (Korea) (En) (Unl)|0A77FA5E
New Boggle Boggle 2 (Korea) (En) (Unl)|DBBF4DD1
NewZealand Story, The (Europe)|C660FF34,27035
Ninja (Japan)|320313EC,G-1308
Ninja Gaiden (Europe, Brazil)|1B1D8CC2,670-2262-50
Ninja Gaiden (Europe, Brazil) (Beta)|761E9396
Ninja, The (USA, Europe, Brazil)|66A15BD9
Northen Ken (Taiwan) (Ja) (Unl)|B6207F0D
Olympic Gold (Brazil) (En,Fr,De,Es,It,Nl,Pt,Sv)|D1A7B1AA
Olympic Gold (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)|6A5A1E39,27030
Opa Opa (Japan)|BEA27D5C,G-1343
Operation Wolf (Europe, Brazil)|205CAAE8,7039
Ottifants, The (Europe, Brazil) (En,Fr,De,Es,It)|82EF2A7D,7120
OutRun (World)|5589D8D2,7003
OutRun 3-D (Europe, Brazil)|D6F43DDA,8007
OutRun 3-D (Europe, Brazil) (Beta)|4E684EC0
OutRun Europa (Europe, Brazil)|3932ADBC,27016
Pac-Mania (Europe)|BE57A9A5,25010
Paper Boy (Taiwan) (En) (Unl)|354BEE78
Paperboy (Europe)|294E0759,5008
Paperboy (USA, Brazil)|327A0B4C,5121
Parlour Games (USA, Europe)|E030E66C
Pat Riley Basketball (USA) (Proto)|9AEFE664
Penguin Adventure (Korea) (En) (Unl)|445525E2
Penguin Land (USA, Europe)|F97E9875
PGA Tour Golf (Europe)|95B9EA95,MK-27070
Phantasy Star (Brazil)|75971BEF
Phantasy Star (Japan)|70E89681,6605D36A,G-1341
Phantasy Star (Japan) (Virtual Console)|07301F83
Phantasy Star (Korea) (Unl)|747E83B5
Phantasy Star (USA, Europe)|E4A65E79
Phantasy Star (USA, Europe) (Rev A)|00BEF1D7
Phantasy Star (World) (Ja) (Sega Ages)|DF96F194
Phantasy Star (World) (Sega Ages)|A1E090B9
